Homo sapiens,Drosophila Melanogaster,Relations,ID
887,32864,n:1,
6609,37884,01:01,745801
23647,41353,01:01,943112
26515,3772213,01:01,847899
3611,53573,01:01,
8642,33245,01:01,597426
63875,38046,01:01,952955
8495,39524,01:01,890131
8665,40587,n:1,899608
4004,38451,01:01,
HUMAN04135,44235,n:1,
6157,33654,01:01,954963
23258,38178,n:1,919502
440026,32737,01:01,750337
10527,44747,n:1,961030
7465,33965,01:01,
81846,41427,n:1,933840
9646,38149,01:01,593717
283106,48448,n:1,
55031,38644,01:01,
HUMAN04189,32990,n:1,731489
HUMAN04190,32536,01:01,
10418,36333,01:01,
22800,38494,01:01,564953
1315,32820,01:01,537125
5682,34359,1:m,530167
5682,34726,1:m,
6207,34149,01:01,933442
5286,39329,n:1,
3746,33599,n:1,
26297,33332,01:01,594311
7166,38121,01:01,915181
2965,36598,01:01,937325
3939,45880,n:1,936148
7251,39881,01:01,594072
144110,43492,n:1,
57084,33427,n:1,594208
8424,36481,1:m,
8424,44620,1:m,
8424,32399,1:m,586829
55327,43003,01:01,862190
196074,41278,01:01,
744,39129,n:1,
120526,40686,01:01,
196294,32505,01:01,772717
26610,33775,01:01,941846
5954,38145,n:1,
10480,36565,01:01,939658
HUMAN04323,31520,n:1,841066
1479,3354994,01:01,540426
25841,2768995,n:1,838985
847,40048,01:01,780369
51074,32334,01:01,932344
7189,31746,01:01,828387
8539,35053,01:01,915214
51144,31703,01:01,566477
2132,3772101,01:01,576641
55343,40981,01:01,857773
9409,40293,01:01,931881
8525,31826,n:1,
392,39385,n:1,595351
9793,41952,01:01,594001
4038,32552,01:01,599950
84364,40487,n:1,593966
53,48445,n:1,
8567,32442,01:01,945024
91252,43533,01:01,594255
5702,42805,01:01,593653
5913,43800,01:01,595810
10658,DROME02355,n:m,
10658,250811,n:m,
4722,38378,01:01,593864
114971,42807,01:01,898379
23788,38026,n:1,
23279,34549,01:01,872180
HUMAN04472,32115,n:1,
6749,37767,01:01,536967
26519,37478,01:01,847884
219537,31979,1:m,
219537,32872,1:m,
HUMAN04561,36494,01:01,943682
51075,37249,01:01,543754
23220,31589,n:1,
5007,42985,n:1,
54948,31150,01:01,943056
27339,37123,01:01,593743
54972,31555,n:1,
643834,326263,n:1,
643847,326263,n:1,
5222,326263,n:1,
1642,41611,01:01,920109
51524,33826,01:01,944311
51259,41035,1:m,
51259,41036,1:m,807205
54949,35797,1:m,
54949,36103,1:m,946699
747,32343,01:01,557413
746,39882,01:01,724541
2237,36887,01:01,960004
2495,32260,n:1,
80150,32488,01:01,937479
1937,44791,01:01,927015
23193,49953,01:01,750212
80789,41674,01:01,937602
51035,38888,01:01,959201
5436,261631,01:01,925447
79064,36134,01:01,850804
10482,43944,n:1,557381
6811,34966,01:01,959645
54663,35536,01:01,858868
283238,42338,01:01,606191
25923,42934,n:1,
10313,33721,01:01,
79829,43500,01:01,901125
HUMAN04794,34384,01:01,929694
10963,33202,01:01,593882
83707,318833,01:01,947255
2286,41403,01:01,897526
5331,33204,n:1,
2101,38912,n:1,
51504,40343,01:01,872727
25824,3771951,01:01,822026
9379,42646,n:1,595515
5837,33386,n:1,
7536,43912,01:01,
HUMAN04838,33991,01:01,882576
10938,41569,n:1,
23130,38344,n:1,709529
402,40993,01:01,853162
29901,39096,01:01,756938
738,37156,01:01,921636
84447,43747,01:01,
740,32242,01:01,716010
23649,43278,01:01,
283130,43311,01:01,
57410,43508,01:01,947386
10524,31362,01:01,769714
254122,34126,n:1,
80198,31044,01:01,
9158,DROME12191,01:01,924993
9092,34608,01:01,922215
84285,319046,01:01,558454
8815,34095,01:01,918518
55690,42843,n:1,
81876,42524,n:1,
254263,34967,n:1,
25855,32243,n:1,838927
65003,41757,01:01,961366
246330,42821,n:1,
HUMAN04959,40996,01:01,853936
HUMAN04960,38780,01:01,791387
254359,59171,n:m,
254359,37565,n:m,
254359,43113,n:m,
89,31166,n:1,
8722,40628,01:01,
9973,46035,01:01,835728
6712,32746,n:1,
9986,44002,01:01,738399
22992,41090,n:1,
156,3355013,n:1,
338692,37199,n:1,
5499,49260,n:m,915386
5499,42922,n:m,
5499,48531,n:m,
374403,41390,01:01,
6199,38654,n:1,
57175,35596,n:1,
9049,32144,n:1,862134
9600,32340,n:1,
4723,33852,01:01,882817
4728,44207,01:01,594200
1119,DROME03787,n:1,
53838,31368,01:01,
4041,44279,n:1,
1374,36109,n:1,853481
8500,249072,n:1,596205
2017,42491,01:01,944393
55191,32328,01:01,932180
3846,170876,n:1,
55298,32765,n:1,820916
55004,40193,01:01,898247
HUMAN05158,39052,n:1,594294
5870,34636,01:01,564959
7351,33832,n:1,769044
7352,33832,n:1,
51400,39032,01:01,863380
283208,326112,01:01,
283209,35923,n:1,899139
387787,40565,01:01,941155
HUMAN05195,32095,01:01,920528
408,53554,n:1,915659
6188,42761,01:01,593655
80168,35718,n:m,
80168,35719,n:m,
80168,35720,n:m,
4647,34882,01:01,575385
282679,36456,n:1,
92105,31793,01:01,917664
79053,31623,01:01,593759
57558,36361,n:1,
79731,36909,01:01,913141
26011,40464,n:m,
26011,32183,n:m,598383
5547,35316,01:01,588920
27314,33988,01:01,564982
51585,36658,01:01,594565
1740,32083,n:1,921144
8726,34611,01:01,884475
51501,38192,01:01,934734
10873,DROME14612,n:1,
65084,41009,1:m,557014
65084,318744,1:m,
65084,41010,1:m,
26973,42874,01:01,
120114,40191,n:1,
120103,34160,n:1,
56935,40504,01:01,923922
28970,261663,1:m,
28970,38124,1:m,851849
9440,42175,01:01,870412
HUMAN05353,34565,01:01,900492
54851,34874,01:01,597174
51503,53435,01:01,593776
55693,35744,n:1,782821
390245,35744,n:1,
143686,37755,n:1,
143684,39069,n:1,597147
8898,33845,01:01,724457
53942,40553,n:1,
330,36748,n:m,
330,39753,n:m,
329,36748,n:m,
329,39753,n:m,595763
114908,39137,01:01,598238
84259,40231,01:01,931041
79659,35073,01:01,574255
414301,32616,n:1,
2893,38742,n:m,
2893,44484,n:m,
60496,317852,01:01,820662
2977,43493,01:01,596236
143884,32490,01:01,594381
HUMAN05431,37585,01:01,932720
54734,31684,n:1,565004
8065,43434,01:01,539582
38,31695,01:01,949337
1662,32742,01:01,596211
5962,31816,n:1,594962
2230,38530,01:01,
5519,2768940,n:1,707417
HUMAN05469,43031,01:01,593805
1410,37744,n:1,892096
1737,34021,01:01,733951
HUMAN05484,32081,01:01,909190
5805,35292,01:01,876771
HUMAN05494,31364,n:1,594803
9183,47874,01:01,
25996,42811,01:01,704208
84811,42931,01:01,
8882,31851,01:01,950293
5049,32529,n:1,
HUMAN05545,35652,n:m,595421
HUMAN05545,38788,n:m,
HUMAN05545,2769008,n:m,
9354,33932,01:01,706989
10632,34054,n:m,
10632,46069,n:m,924898
4297,DROME14865,01:01,595011
143941,39507,01:01,779133
HUMAN05581,45250,01:01,557504
23187,32698,01:01,948923
11181,45368,01:01,889414
1656,34364,01:01,593672
6230,41343,01:01,861166
51399,34197,01:01,282538
10525,31215,01:01,593799
55823,317987,01:01,
1798,34711,01:01,593715
25988,47718,01:01,595475
64137,33636,n:1,
4162,4379854,01:01,
9099,DROME22021,01:01,596480
220323,33435,01:01,944447
2900,43806,01:01,
219899,36072,01:01,947895
84959,42840,01:01,944347
3312,41840,01:01,593914
219855,DROME07517,n:1,593713
3703,33082,01:01,810587
1111,34993,01:01,594879
83480,37531,01:01,951088
29118,3354919,n:1,
6734,47251,01:01,593900
55572,35575,01:01,942585
28960,40711,01:01,923556
84623,31290,n:1,
4798,41072,01:01,940587
HUMAN05740,44505,n:1,
50863,5740816,01:01,
4978,33793,n:m,
4978,7354433,n:m,
4978,33925,n:m,
4978,DROME13412,n:m,596595
4978,43417,n:m,
112936,31144,01:01,
5927,33837,n:1,782820
144699,37602,01:01,600157
79602,42656,n:1,
HUMAN05787,34951,n:m,
HUMAN05787,36526,n:m,937362
654429,39453,01:01,
HUMAN05793,34950,n:1,
2288,47762,n:1,594094
10867,31540,01:01,738157
56341,41295,n:1,824828
57102,43386,01:01,925387
3736,32780,n:1,
HUMAN05840,42340,01:01,900274
9918,43491,01:01,957486
2597,35728,1:m,956091
2597,32545,1:m,
HUMAN05862,40170,n:1,
51147,34752,n:1,
50813,35816,n:1,
8078,38375,n:1,557529
7167,43582,01:01,923222
2026,33351,n:1,
113246,33403,01:01,931404
11331,46038,01:01,593722
10436,31387,01:01,932230
10162,40093,01:01,570967
9746,43824,n:1,
HUMAN05917,31141,01:01,
144195,38109,n:1,
6515,38109,n:1,594588
25977,2768881,n:1,
255308,41843,n:1,
55110,37402,n:1,891661
5545,40101,01:01,
4040,44279,n:1,595813
51202,35379,01:01,593583
55729,36133,01:01,596849
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,588999
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,41773,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,318855,n:m,
55766,3772346,n:m,
55766,3772346,n:m,
55766,3772346,n:m,
55766,318855,n:m,
55766,318855,n:m,
51729,31259,01:01,594332
397,40179,n:1,
2059,33268,n:m,951469
2059,DROME15356,n:m,
HUMAN06080,37727,01:01,593796
51071,36358,01:01,867534
4257,32438,1:m,
4257,318913,1:m,
4257,44110,1:m,903488
28234,37544,n:1,
HUMAN06102,37544,n:1,625526
338821,37544,n:1,
10599,37545,n:1,598125
6579,37545,n:1,
79912,35296,01:01,845310
51026,318095,01:01,
2998,41823,n:1,
3945,45880,n:1,
10060,DROME01924,01:01,
9847,42904,01:01,917643
HUMAN06129,32585,01:01,714391
586,32297,n:1,957922
144363,50459,01:01,867640
3845,41140,n:1,
3709,40664,n:1,
55726,41971,01:01,942179
HUMAN06155,3354977,01:01,936984
23012,40165,n:1,
60488,38345,01:01,931888
HUMAN06179,31001,01:01,791334
10526,44747,n:1,
1663,31072,01:01,818948
160518,38178,n:1,
636,35051,n:1,938186
10059,33445,01:01,896604
51067,37965,01:01,961565
84920,326193,n:1,891275
144245,326193,n:1,
225,43772,n:1,593961
114134,44268,01:01,
1272,40553,n:1,667938
283464,43008,01:01,915143
10138,37601,01:01,
51135,43283,01:01,
5756,41719,n:1,769010
196527,39362,n:1,
196528,35560,01:01,594463
79657,43958,01:01,594845
8909,41931,01:01,
5213,36060,n:1,923685
784,34557,n:1,
9416,35112,01:01,593919
HUMAN06320,37606,01:01,902763
7480,34011,n:1,
7471,34009,01:01,938304
50846,42737,n:1,929632
55716,42956,n:1,876364
10376,41183,n:1,956354
7846,41183,n:1,
84790,41183,n:1,
79962,32683,01:01,883883
10445,38478,01:01,950242
25766,33513,n:1,
91010,39561,n:1,
7009,38936,01:01,949875
144233,38538,01:01,899289
359,DROME05359,n:1,
362,DROME05359,n:1,
29127,36538,01:01,717967
41,33887,01:01,
6602,32268,01:01,805100
2819,33824,01:01,894369
91012,50392,n:1,
57609,252479,n:1,
613227,36099,n:m,
613227,41359,n:m,
4891,42490,01:01,828922
25875,38984,01:01,822437
9498,34005,n:1,
HUMAN06428,32619,n:1,596240
HUMAN06430,35731,01:01,
60673,32871,01:01,813862
1975,3355041,01:01,
8435,41033,n:1,
51380,DROME02615,n:1,910187
5204,42647,01:01,931240
60314,DROME13816,01:01,878365
8086,31881,01:01,
5094,40436,n:1,
6895,34751,01:01,947775
3225,42541,01:01,
23583,42078,01:01,851828
3178,48535,n:m,
3178,43385,n:m,
HUMAN06528,39862,01:01,844952
53831,140439,01:01,594911
5153,34594,n:1,
3679,32275,n:1,949122
2647,246439,01:01,795981
29095,40404,n:1,
84305,37780,01:01,894318
1017,42453,n:1,
5869,33418,n:1,564962
6821,32878,01:01,888087
6231,35098,01:01,
5036,38645,01:01,
140465,31474,n:1,594006
HUMAN06612,31474,n:1,
6601,41942,n:1,738758
10193,39735,01:01,297384
283375,39626,01:01,595724
HUMAN06620,35568,01:01,
1431,31579,01:01,809729
9924,35893,01:01,738073
8914,41615,01:01,946787
27165,36396,n:1,921662
506,43829,01:01,810383
10728,41173,01:01,891217
5557,38942,01:01,943377
4035,35799,n:1,
4141,37177,01:01,947868
114785,32392,01:01,
10540,44086,01:01,825322
3798,36810,n:1,
6302,43241,n:1,
1019,36854,n:1,
1594,36105,01:01,905268
4234,31176,01:01,952885
10102,35060,01:01,947237
10677,46008,n:1,
121227,36788,n:1,
23041,326157,01:01,813698
57460,33140,n:1,949669
283417,32854,n:1,
HUMAN06740,36487,1:m,833891
HUMAN06740,246425,1:m,
11197,31617,01:01,
253827,DROME14224,01:01,
23426,50391,n:1,876964
55832,34403,01:01,892466
5908,38244,n:1,
57122,34481,01:01,935831
1368,32652,01:01,896420
11052,38937,01:01,595048
4069,36798,1:m,
4069,38125,1:m,
4069,38127,1:m,
4069,38128,1:m,
4069,38129,1:m,
4069,38130,1:m,
HUMAN06789,33973,01:01,541855
10576,31838,01:01,584369
5787,31425,01:01,
55266,39501,01:01,920872
23011,3355163,01:01,564972
3747,33599,n:1,552824
11103,33269,01:01,898906
4673,37798,n:1,593906
114882,42412,n:1,
23390,39747,01:01,846160
4659,49070,n:1,
79611,42901,01:01,593600
8499,249072,n:1,
84190,3772719,01:01,935697
160335,DROME00199,1:m,596311
160335,33455,1:m,
144448,35612,01:01,
160418,37401,01:01,596485
1848,40081,n:1,
282809,39502,n:1,
490,43787,n:1,712682
8411,DROME11327,01:01,
440672,39226,n:1,
7334,34849,n:m,
7334,32358,n:m,
55967,33443,01:01,938964
10988,34294,01:01,
6636,36314,01:01,885383
4048,35146,01:01,880793
121441,35130,01:01,
5250,37297,1:m,828505
5250,39587,1:m,
56899,42764,n:1,
64431,32514,01:01,550401
55681,43423,01:01,947387
246213,33427,n:1,
121601,39362,n:1,900273
160728,37294,n:m,
160728,326229,n:m,
27340,37570,01:01,943060
HUMAN06999,39745,01:01,853159
56994,36496,n:1,
55332,31177,01:01,888475
51019,34097,01:01,913440
79023,43040,01:01,825612
5053,38871,01:01,915180
51559,35984,n:1,
7184,43354,01:01,917682
50515,326156,n:1,587703
160428,35407,n:1,530800
23325,32594,01:01,
255394,31520,n:1,
55703,36289,01:01,959349
55188,31874,n:1,
121551,2768995,n:1,
11137,36150,01:01,537038
11153,33897,01:01,795235
23479,41059,01:01,876736
23603,35596,n:1,761342
55530,37830,01:01,593899
84749,31519,01:01,594930
32,35761,n:1,
HUMAN07104,DROME08721,n:1,
83892,35488,n:1,919304
89910,39035,01:01,912708
4598,3772247,01:01,878678
51228,32475,01:01,924765
9815,36122,01:01,
88455,37199,n:1,
488,49297,n:1,712677
51434,31594,01:01,594040
10094,41917,1:m,913227
10094,32696,1:m,
51184,40857,01:01,892837
51699,33295,01:01,918415
144715,40054,01:01,
160760,38177,01:01,537518
5501,49260,n:m,
5501,42922,n:m,
5501,48531,n:m,
160762,42024,01:01,903215
8315,42302,01:01,576818
217,34256,01:01,530730
10961,37206,01:01,859555
80018,42389,01:01,539045
6128,43723,01:01,707122
5781,45278,01:01,
1840,31589,n:1,
387885,35205,n:m,
387885,35206,n:m,
79039,326208,01:01,593790
115811,36327,1:m,
115811,40803,1:m,
80024,35858,01:01,903538
9904,39119,01:01,593793
23389,43906,n:1,
4842,34495,n:1,888121
283455,40660,01:01,599164
5985,34423,01:01,593706
5037,40779,01:01,
51347,32948,n:1,
64426,32954,01:01,838928
5564,DROME04788,n:1,
11113,39429,01:01,594813
92558,39537,01:01,918908
11021,33014,01:01,564992
10985,3355040,01:01,590018
6175,40451,01:01,936921
23409,31480,01:01,745090
1337,37728,01:01,816874
51499,246460,1:m,
51499,246461,1:m,878219
283459,3772218,01:01,919896
8655,33319,n:m,866187
8655,31405,n:m,
84274,32272,01:01,583594
9921,38181,01:01,949719
51367,39915,01:01,891070
9761,35375,01:01,924651
84747,31664,n:1,
35,42364,01:01,911726
121665,43128,01:01,891597
51433,45574,01:01,829740
84678,41090,n:1,952522
283385,37041,01:01,594754
144404,31270,n:1,752411
3242,40263,01:01,955570
5715,41672,01:01,914181
22877,35402,n:1,
65082,32947,01:01,802058
6249,DROME03062,01:01,
65117,32482,01:01,
9735,43719,01:01,915864
8562,32679,01:01,
9026,DROME10994,n:1,959975
79720,40624,01:01,594600
57605,32340,n:1,730282
91574,246457,01:01,956270
55206,32273,01:01,890521
353116,31090,01:01,940515
10959,31382,01:01,944155
57696,40974,01:01,593704
1967,43549,01:01,953928
2967,33294,01:01,934366
HUMAN07365,43379,01:01,574250
7316,38456,1:m,
7316,326237,1:m,
57647,31205,01:01,938768
114795,31555,n:1,
92293,31555,n:1,940336
121256,31555,n:1,
23504,DROME15079,01:01,
HUMAN07394,44072,01:01,564949
6433,31054,01:01,594392
80324,42440,01:01,951087
57634,45655,01:01,596476
317781,39871,01:01,594296
5426,42758,01:01,960723
5827,DROME08810,01:01,945804
192111,37899,1:m,
192111,31143,1:m,
10795,43069,n:1,
HUMAN07445,40587,n:1,
113457,40848,n:m,956350
113457,40904,n:m,
51084,32592,01:01,954557
8100,35414,01:01,594151
221143,33858,01:01,896358
10284,41965,01:01,787349
253832,36043,n:1,
6445,31129,n:1,850794
4285,35511,01:01,802974
5042,37070,n:1,
9107,DROME07985,n:1,724455
9818,42342,01:01,
51761,36488,n:1,
1024,39157,01:01,594372
10810,34519,n:1,595062
219333,42702,n:1,
6144,35453,01:01,935485
51082,35196,01:01,
2321,34127,n:1,597326
51371,35342,01:01,
6541,40510,01:01,834234
84056,53566,n:1,594436
171222,37035,n:1,
10808,39557,n:1,
145173,33844,01:01,
122042,43098,n:1,
10129,39122,n:1,
23047,36286,n:1,593721
90627,41749,n:1,889534
5983,34550,01:01,593657
HUMAN07557,44531,n:1,
4081,31533,n:m,
4081,44127,n:m,929544
9201,3355134,n:1,
29880,34134,01:01,530434
122011,32221,n:1,
7223,34991,n:1,594650
51569,5740715,01:01,955745
57511,35953,01:01,558130
10166,DROME20075,n:1,769035
11193,33264,01:01,837777
79612,32934,n:1,
23078,53434,01:01,955348
160851,5740362,n:1,
387923,251645,n:1,
8848,34665,n:1,595557
55425,2768669,01:01,931970
2963,41290,01:01,950022
7178,41341,01:01,923837
253512,39322,n:1,
83548,33562,01:01,924962
1361,31503,01:01,586085
3936,32721,n:1,960787
23143,35041,n:1,
2098,42396,01:01,781904
8803,41067,01:01,845256
29079,38799,01:01,921031
5925,41941,01:01,
22862,34987,n:1,595110
81617,39858,n:1,
3839,41158,n:1,
57213,42158,01:01,935984
79621,32323,01:01,
115825,34425,n:1,
540,32142,n:1,
440138,40402,01:01,
9724,39689,n:1,
51028,39523,01:01,948540
144983,48535,n:m,
144983,43385,n:m,
81624,35340,n:1,596026
57626,31873,n:1,
22894,42900,01:01,593667
9882,40704,01:01,594592
7347,33397,n:1,
115207,42475,01:01,850015
HUMAN07746,32429,01:01,895699
64062,35235,n:1,594484
54602,326197,01:01,
2262,39013,01:01,936735
10082,39596,n:1,
10257,34148,1:m,
10257,35163,1:m,
10257,35366,1:m,
10257,47905,1:m,
10257,42362,1:m,
5611,41161,01:01,593737
55757,40055,n:1,
5911,37850,n:1,
3843,40581,n:1,574859
140432,42397,n:1,
6564,31340,01:01,595282
HUMAN07790,34030,n:1,717227
9375,35335,01:01,576478
87769,37989,01:01,703833
84899,41867,01:01,595153
259232,45338,01:01,593862
7174,DROME05731,01:01,576456
HUMAN07821,3772069,n:1,
2073,3772069,n:1,915340
6555,32472,n:m,
6555,32621,n:m,
55082,34320,01:01,594671
3981,32322,01:01,808168
84945,44441,01:01,788406
1282,33727,n:1,
79587,36563,01:01,
3621,42140,01:01,594711
10426,48481,01:01,
23250,32609,n:m,
23250,32610,n:m,
55795,39306,01:01,928279
8451,35780,n:1,
79774,41960,01:01,594283
55208,39685,n:1,
22821,39158,n:1,594989
8881,42753,01:01,593977
65110,37792,n:1,596680
55644,39811,01:01,886379
4860,38315,01:01,957282
64745,34323,01:01,916186
29986,35579,01:01,
57447,DROME07572,n:1,
11198,38248,01:01,960376
6297,34483,01:01,
1603,34159,01:01,860332
63874,DROME04431,01:01,863386
HUMAN08123,39222,01:01,914234
9056,39625,n:1,
122704,35711,01:01,933513
55147,33989,n:1,
10419,36809,01:01,941835
5693,45269,01:01,953670
122706,318924,01:01,
23428,39625,n:1,
4624,35007,n:1,
4625,35007,n:1,595468
25983,33805,01:01,940777
10901,38598,n:1,566474
HUMAN08180,38598,n:1,
90668,35715,n:1,
5106,37130,n:m,957516
5106,37131,n:m,
80344,37329,01:01,594280
79711,59216,1:m,
79711,59215,1:m,574860
283629,33867,01:01,597862
HUMAN08208,35151,n:1,
4738,35151,n:1,845618
5875,40617,01:01,
161424,35664,01:01,948040
196883,40180,n:1,
56948,36400,01:01,865884
1215,36036,1:m,
1215,326126,1:m,
4857,44258,n:1,594808
5587,42203,n:1,598082
23256,33434,01:01,785276
29966,34096,n:1,871166
HUMAN08264,34378,01:01,915714
25938,40950,n:1,
394,32743,n:1,851964
112399,40633,01:01,
HUMAN08288,34126,n:1,949757
11177,43751,01:01,842315
6729,38593,01:01,593529
9692,31568,01:01,948205
HUMAN08308,45780,1:m,530165
HUMAN08308,45780,1:m,
253959,43242,n:1,920942
84312,32243,n:1,
89874,31020,01:01,769019
10484,40694,n:1,921599
HUMAN08332,40087,01:01,896945
122553,41866,01:01,897056
254170,39043,01:01,954237
84075,33232,1:m,
84075,40433,1:m,
140801,43864,n:1,
6235,41200,01:01,913967
122769,34449,01:01,954013
6166,34098,n:1,953476
5427,38661,01:01,555986
9147,43018,01:01,951485
382,36699,01:01,853161
6655,34790,n:1,924980
79944,35156,01:01,942580
HUMAN08378,3772305,01:01,829872
8814,33798,n:1,595202
HUMAN08381,37203,n:1,884167
51062,42934,n:1,595792
5836,33386,n:1,886187
114088,34453,n:1,292205
81542,37775,01:01,859544
51637,42129,01:01,717123
22795,36089,n:1,918012
30001,38500,n:1,
HUMAN08406,31567,01:01,593644
64841,43504,01:01,
10979,38488,n:m,922710
10979,39907,n:m,
HUMAN08415,34967,n:1,879489
HUMAN08417,34963,n:1,926894
2643,37415,01:01,
11169,36551,01:01,949483
22863,43438,01:01,919860
57161,42821,n:1,
HUMAN08443,42863,01:01,809150
55860,32969,01:01,785443
5684,36018,01:01,530163
387990,41285,01:01,
26520,32294,01:01,847898
23002,DROME18626,n:1,597104
51528,43748,01:01,934868
HUMAN08471,326177,01:01,
5494,43481,n:1,
4331,36130,01:01,851241
57570,317953,01:01,918983
122876,DROME03889,01:01,
112840,36038,01:01,890259
23224,3771968,n:1,
HUMAN08506,DROME14170,01:01,940875
HUMAN08523,41989,n:1,935727
2342,41989,n:1,
4149,40095,01:01,785633
2530,32122,01:01,952202
HUMAN08539,30973,01:01,
51382,44702,01:01,928194
1965,32617,01:01,914695
57475,31031,01:01,576609
384,46717,n:1,
HUMAN08571,31166,n:1,594088
55218,41374,01:01,932578
2079,43951,01:01,807259
55334,43786,01:01,594036
64093,36048,n:1,951984
6547,42481,n:1,
51241,DROME15024,01:01,851350
10001,44728,01:01,885271
9628,32674,n:1,
8110,35485,01:01,952391
58517,31481,01:01,594067
5663,40260,n:1,
79697,31374,01:01,840862
83544,34944,1:m,
83544,35962,1:m,594166
51004,33777,01:01,713387
957,33495,n:1,778811
4329,30995,01:01,530732
HUMAN08639,31499,01:01,
10577,33374,01:01,929139
122961,42926,01:01,594331
9870,33377,01:01,905208
51077,46032,01:01,892753
1743,41360,01:01,733950
83694,42187,01:01,903875
8892,31256,01:01,953929
97,5740441,n:m,
97,34807,n:m,940537
97,36556,n:m,
97,41910,n:m,
10972,42996,01:01,944157
55640,35697,n:1,
112752,34676,01:01,945718
HUMAN08695,38912,n:1,579091
64207,32205,n:1,
57156,35779,n:1,
283576,59171,n:m,
283576,37565,n:m,
283576,43113,n:m,
29954,31024,01:01,593693
2954,41132,1:m,927014
2954,41133,1:m,
10598,35426,01:01,584526
9517,34910,n:1,859131
8846,2768870,01:01,904325
HUMAN08734,41021,1:m,
HUMAN08734,3772560,1:m,595385
22938,31840,01:01,893675
57143,37938,01:01,855837
HUMAN08741,42646,n:1,
7253,42133,n:1,
2957,43284,01:01,807212
6400,42806,01:01,594315
11099,33882,n:1,
79882,42897,01:01,
123016,33217,01:01,594195
55775,33530,01:01,935654
5700,42828,01:01,593638
55051,32455,01:01,
801,36329,n:1,
145567,48387,n:1,916821
55671,41675,n:1,557092
53981,43426,01:01,934443
123041,3354990,01:01,
55148,35044,01:01,948582
HUMAN08825,42310,01:01,923635
57062,37296,01:01,594226
23405,42693,01:01,937096
51218,32410,01:01,946514
55102,38344,n:1,
51527,40458,01:01,951464
10914,49636,n:1,
7443,43228,01:01,
84193,31638,01:01,539663
123096,34390,01:01,769031
7453,45399,01:01,955814
5527,42169,n:1,
1778,38580,01:01,574249
3320,38389,n:1,917683
91833,43218,01:01,
9578,37858,n:1,598167
1983,32566,01:01,938597
HUMAN08957,2768852,n:1,595029
115708,43170,01:01,945508
HUMAN08963,39445,n:1,594945
HUMAN08966,39445,n:1,
7517,41746,01:01,951838
23368,37422,n:1,
122402,41919,01:01,928370
374569,41208,1:m,893439
374569,31351,1:m,
388021,42838,01:01,865442
122622,42466,n:1,
207,DROME15210,n:1,
122618,35387,01:01,
3714,43275,n:1,
256281,43276,1:m,922242
256281,10178958,1:m,
2972,42087,01:01,594229
90135,42089,n:1,
23241,42843,n:1,942367
81614,34681,n:1,
23191,41861,n:1,
HUMAN09152,32478,01:01,
283767,39978,01:01,
54551,33665,01:01,
23742,41397,01:01,
6638,34426,n:1,
7337,39266,01:01,923155
57194,2768929,n:1,
HUMAN09170,32554,n:1,703100
4948,39471,01:01,595885
8924,33035,01:01,928917
728310,31435,01:01,
56160,40860,n:1,731037
89832,34304,n:m,
89832,32928,n:m,703130
54893,32408,n:1,
4308,36694,n:1,
1139,34304,n:m,
1139,32928,n:m,
HUMAN09221,49090,n:1,283019
1133,37892,n:1,
56851,36767,01:01,539986
161779,41055,01:01,825352
51234,40505,01:01,920267
9990,37800,n:1,834239
55505,36135,01:01,959960
9716,41437,01:01,557119
161742,36643,n:1,
283742,43132,n:1,598786
440275,43709,01:01,959045
6727,42436,01:01,588768
644844,12797873,1:m,605083
644844,50196,1:m,
85455,44274,n:1,
HUMAN09277,38979,01:01,911722
27079,34440,01:01,883728
5888,43577,01:01,951835
55192,41351,01:01,557435
84936,32533,01:01,861559
57617,31118,01:01,539012
54617,42314,01:01,
11261,40695,01:01,594130
23168,37554,01:01,948188
3706,32285,01:01,
26015,39413,01:01,846587
100137047,39514,01:01,817562
51332,38418,01:01,597691
30844,41569,n:1,
23339,42192,01:01,830447
25963,33347,01:01,
64397,42124,01:01,935682
255252,31642,01:01,594153
197131,32687,n:1,
161823,41092,01:01,900791
27229,34441,01:01,932638
HUMAN09379,7354465,01:01,
2923,36270,01:01,859531
HUMAN09403,41708,01:01,
4236,38256,01:01,594004
84978,34398,01:01,
8669,36037,01:01,950057
6652,40836,1:m,
6652,41313,1:m,874778
53905,33477,01:01,747227
9153,35914,n:1,
79029,38421,01:01,
7782,35513,01:01,
58472,38514,01:01,845292
283652,40551,01:01,903542
50804,41138,01:01,594224
6557,39410,n:1,
9318,34225,01:01,922363
2585,39031,01:01,878676
