"","Gen","Ard","Arc"
"3133","KLC2-AS1","cardiovascular","cardiovascular"
"3134","HNRNPU","cardiovascular","cardiovascular"
"3135","CD226","cardiovascular","cardiovascular"
"3136","H4C6","cardiovascular","cardiovascular"
"3137","BTF3","cardiovascular","cardiovascular"
"3138","SPOPL-DT","cardiovascular","cardiovascular"
"3139","SLC45A1","cardiovascular","cardiovascular"
"3140","STX16","cardiovascular","cardiovascular"
"3141","TMEM178A","cardiovascular","cardiovascular"
"3142","CACNG7","cardiovascular","cardiovascular"
"3143","NMNAT2","cardiovascular","cardiovascular"
"3144","KRTAP5-2","cardiovascular","cardiovascular"
"3145","GP6","cardiovascular","cardiovascular"
"3146","YIPF2","cardiovascular","cardiovascular"
"3147","BTBD9-AS1","cardiovascular","cardiovascular"
"3148","HSPB8","cardiovascular","cardiovascular"
"3149","STX5","cardiovascular","cardiovascular"
"3150","SUGP2","cardiovascular","cardiovascular"
"3151","SCG3","cardiovascular","cardiovascular"
"3152","MAPK4","cardiovascular","cardiovascular"
"3153","ANKRD11","cardiovascular","cardiovascular"
"3154","HNRNPA3","cardiovascular","cardiovascular"
"3155","TAF5L","cardiovascular","cardiovascular"
"3156","KLC2","cardiovascular","cardiovascular"
"3157","CEP170B","cardiovascular","cardiovascular"
"3158","RN7SL38P","cardiovascular","cardiovascular"
"3159","TMEM132D-AS1","cardiovascular","cardiovascular"
"3160","EEF1A1P6","cardiovascular","cardiovascular"
"3161","TMEM256P2","cardiovascular","cardiovascular"
"3162","USP19","cardiovascular","cardiovascular"
"3163","RPL13","cardiovascular","cardiovascular"
"3164","KCNB1","cardiovascular","cardiovascular"
"3165","SPOCK1","cardiovascular","cardiovascular"
"3166","PARG","cardiovascular","cardiovascular"
"3167","RN7SL278P","cardiovascular","cardiovascular"
"3168","DAO","cardiovascular","cardiovascular"
"3169","NAA60","cardiovascular","cardiovascular"
"3170","SHROOM2P1","cardiovascular","cardiovascular"
"3171","ASTN2","cardiovascular","cardiovascular"
"3172","SH3D19","cardiovascular","cardiovascular"
"3173","PPIAP87","cardiovascular","cardiovascular"
"3174","RPS23P8","cardiovascular","cardiovascular"
"3175","F2RL3","cardiovascular","cardiovascular"
"3176","SYN1","cataract","neurology/eye/psychiatry"
"3177","APLP1","cataract","neurology/eye/psychiatry"
"3178","JPH4","cataract","neurology/eye/psychiatry"
"3179","SYP","cataract","neurology/eye/psychiatry"
"3180","PCSK2","cataract","neurology/eye/psychiatry"
"3181","LZTS3","cataract","neurology/eye/psychiatry"
"3182","CNIH2","cataract","neurology/eye/psychiatry"
"3183","PLEKHG5","cataract","neurology/eye/psychiatry"
"3184","MAST1","cataract","neurology/eye/psychiatry"
"3185","GPR37","cataract","neurology/eye/psychiatry"
"3186","RTBDN","cataract","neurology/eye/psychiatry"
"3187","CACNA1G","cataract","neurology/eye/psychiatry"
"3188","HPCA","cataract","neurology/eye/psychiatry"
"3189","STAC2","cataract","neurology/eye/psychiatry"
"3190","DRAXINP1","cataract","neurology/eye/psychiatry"
"3191","SLC12A5","cataract","neurology/eye/psychiatry"
"3192","CACNA1A","cataract","neurology/eye/psychiatry"
"3193","REEP2","cataract","neurology/eye/psychiatry"
"3194","PPFIA4","cataract","neurology/eye/psychiatry"
"3195","C1QL2","cataract","neurology/eye/psychiatry"
"3196","SYN2","cataract","neurology/eye/psychiatry"
"3197","ABCC8","cataract","neurology/eye/psychiatry"
"3198","NDRG4","cataract","neurology/eye/psychiatry"
"3199","GPRC5B","cataract","neurology/eye/psychiatry"
"3200","B4GAT1","cataract","neurology/eye/psychiatry"
"3201","MIR1260A","cataract","neurology/eye/psychiatry"
"3202","KCNK9","cataract","neurology/eye/psychiatry"
"3203","GDF1","cataract","neurology/eye/psychiatry"
"3204","RAB26","cataract","neurology/eye/psychiatry"
"3205","TTYH1","cataract","neurology/eye/psychiatry"
"3206","ZIC4","cataract","neurology/eye/psychiatry"
"3207","ZNF385B","cataract","neurology/eye/psychiatry"
"3208","CELF3","cataract","neurology/eye/psychiatry"
"3209","PVALB","cataract","neurology/eye/psychiatry"
"3210","KCNT1","cataract","neurology/eye/psychiatry"
"3211","IL10RB-DT","cataract","neurology/eye/psychiatry"
"3212","CHST1","cataract","neurology/eye/psychiatry"
"3213","CAMK1G","cataract","neurology/eye/psychiatry"
"3214","LMTK3","cataract","neurology/eye/psychiatry"
"3215","PCDHGC4","cataract","neurology/eye/psychiatry"
"3216","CHGB","cataract","neurology/eye/psychiatry"
"3217","ADGRA1-AS1","cataract","neurology/eye/psychiatry"
"3218","NEFM","cataract","neurology/eye/psychiatry"
"3219","CPNE9","cataract","neurology/eye/psychiatry"
"3220","CHROMR","cataract","neurology/eye/psychiatry"
"3221","SNORD57","cataract","neurology/eye/psychiatry"
"3222","RAPGEF4","cataract","neurology/eye/psychiatry"
"3223","ZKSCAN8P1","cataract","neurology/eye/psychiatry"
"3224","PHYHIP","cataract","neurology/eye/psychiatry"
"3225","STX1B","cataract","neurology/eye/psychiatry"
"3226","CACNG3","cataract","neurology/eye/psychiatry"
"3227","SPTBN4","cataract","neurology/eye/psychiatry"
"3228","GPR37L1","cataract","neurology/eye/psychiatry"
"3229","HHATL","cataract","neurology/eye/psychiatry"
"3230","PTPRT-DT","cataract","neurology/eye/psychiatry"
"3231","RPS28P8","cataract","neurology/eye/psychiatry"
"3232","ADAM11","cataract","neurology/eye/psychiatry"
"3233","KCNF1","cataract","neurology/eye/psychiatry"
"3234","LINC02549","cataract","neurology/eye/psychiatry"
"3235","ALDOC","cataract","neurology/eye/psychiatry"
"3236","FDPSP1","cataract","neurology/eye/psychiatry"
"3237","KCNC2","cataract","neurology/eye/psychiatry"
"3238","SLC6A7","cataract","neurology/eye/psychiatry"
"3239","DKK3","cataract","neurology/eye/psychiatry"
"3240","CARNS1","cataract","neurology/eye/psychiatry"
"3241","HSPA2","cataract","neurology/eye/psychiatry"
"3242","NKX2-2","cataract","neurology/eye/psychiatry"
"3243","NCS1","cataract","neurology/eye/psychiatry"
"3244","NTSR2","cataract","neurology/eye/psychiatry"
"3245","EXTL1","cataract","neurology/eye/psychiatry"
"3246","NSG2","cataract","neurology/eye/psychiatry"
"3247","GFAP","cataract","neurology/eye/psychiatry"
"3248","TAGLN3","cataract","neurology/eye/psychiatry"
"3249","PSMA1P1","cataract","neurology/eye/psychiatry"
"3250","SLC45A1","cataract","neurology/eye/psychiatry"
"3251","HTR5A","cataract","neurology/eye/psychiatry"
"3252","ISLR2","cataract","neurology/eye/psychiatry"
"3253","SULT4A1","cataract","neurology/eye/psychiatry"
"3254","RFKP5","cataract","neurology/eye/psychiatry"
"3255","MIR548O","cataract","neurology/eye/psychiatry"
"3256","DNM1","cataract","neurology/eye/psychiatry"
"3257","COBL","cataract","neurology/eye/psychiatry"
"3258","GNG13","cataract","neurology/eye/psychiatry"
"3259","HABP4","cataract","neurology/eye/psychiatry"
"3260","PRKCZ","cataract","neurology/eye/psychiatry"
"3261","FAM131B","cataract","neurology/eye/psychiatry"
"3262","SFTPC","cataract","neurology/eye/psychiatry"
"3263","CARTPT","cataract","neurology/eye/psychiatry"
"3264","RNPC3-DT","cataract","neurology/eye/psychiatry"
"3265","TMEM266","cataract","neurology/eye/psychiatry"
"3266","SRCIN1","cataract","neurology/eye/psychiatry"
"3267","CHGA","cataract","neurology/eye/psychiatry"
"3268","ADCY5","cataract","neurology/eye/psychiatry"
"3269","CDH23-AS1","cataract","neurology/eye/psychiatry"
"3270","HRH3","cataract","neurology/eye/psychiatry"
"3271","ZNF567-DT","cataract","neurology/eye/psychiatry"
"3272","PLEKHB1","cataract","neurology/eye/psychiatry"
"3273","CHRNA4","cataract","neurology/eye/psychiatry"
"3274","PRR35","cataract","neurology/eye/psychiatry"
"3275","PTPRN","cataract","neurology/eye/psychiatry"
"3276","SYT7","cataract","neurology/eye/psychiatry"
"3277","SH3GL2","cataract","neurology/eye/psychiatry"
"3278","DAO","cataract","neurology/eye/psychiatry"
"3279","PSME2P6","cataract","neurology/eye/psychiatry"
"3280","CELF5","cataract","neurology/eye/psychiatry"
"3281","LDB3","cataract","neurology/eye/psychiatry"
"3282","LINC01706","cataract","neurology/eye/psychiatry"
"3283","KIF5A","cataract","neurology/eye/psychiatry"
"3284","HID1","cataract","neurology/eye/psychiatry"
"3285","BARHL2","cataract","neurology/eye/psychiatry"
"3286","GABBR2","cataract","neurology/eye/psychiatry"
"3287","RNA5SP487","cataract","neurology/eye/psychiatry"
"3288","CSPG5","cataract","neurology/eye/psychiatry"
"3289","STMN4","cataract","neurology/eye/psychiatry"
"3290","KCNJ4","cataract","neurology/eye/psychiatry"
"3291","AVPR1B-DT","cataract","neurology/eye/psychiatry"
"3292","ETNPPL","cataract","neurology/eye/psychiatry"
"3293","PITPNM3","cataract","neurology/eye/psychiatry"
"3294","ABLIM2","cataract","neurology/eye/psychiatry"
"3295","GPIHBP1","cataract","neurology/eye/psychiatry"
"3296","KCNJ9","cataract","neurology/eye/psychiatry"
"3297","VXN","cataract","neurology/eye/psychiatry"
"3298","CHRM1","cataract","neurology/eye/psychiatry"
"3299","ASPHD1","cataract","neurology/eye/psychiatry"
"3300","RNU2-59P","cataract","neurology/eye/psychiatry"
"3301","CPNE6","cataract","neurology/eye/psychiatry"
"3302","GABRA6","cataract","neurology/eye/psychiatry"
"3303","PHF24","cataract","neurology/eye/psychiatry"
"3304","SYT12","cataract","neurology/eye/psychiatry"
"3305","RASGRF1","cataract","neurology/eye/psychiatry"
"3306","KCNS1","cataract","neurology/eye/psychiatry"
"3307","DAB2IP","cataract","neurology/eye/psychiatry"
"3308","THY1","cataract","neurology/eye/psychiatry"
"3309","SLC9A3P3","cataract","neurology/eye/psychiatry"
"3310","NGB","cataract","neurology/eye/psychiatry"
"3311","SLC30A3","cataract","neurology/eye/psychiatry"
"3312","ATP6V0E2","cataract","neurology/eye/psychiatry"
"3313","DBNDD2","cataract","neurology/eye/psychiatry"
"3314","PAQR6","cataract","neurology/eye/psychiatry"
"3315","SMIM43","cataract","neurology/eye/psychiatry"
"3316","LINC01750","cataract","neurology/eye/psychiatry"
"3317","CNN2P1","cataract","neurology/eye/psychiatry"
"3318","HS3ST2","cataract","neurology/eye/psychiatry"
"3319","CELSR1P1","cataract","neurology/eye/psychiatry"
"3320","LRRC4B","cataract","neurology/eye/psychiatry"
"3321","SEPTIN4-AS1","cataract","neurology/eye/psychiatry"
"3322","ASIC2","cataract","neurology/eye/psychiatry"
"3323","HCN2","cataract","neurology/eye/psychiatry"
"3324","SEPTIN4","cataract","neurology/eye/psychiatry"
"3325","NACAD","cataract","neurology/eye/psychiatry"
"3326","NPTX1","cataract","neurology/eye/psychiatry"
"3327","CPLX2","cataract","neurology/eye/psychiatry"
"3328","CBLN1","cataract","neurology/eye/psychiatry"
"3329","FGF1","cataract","neurology/eye/psychiatry"
"3330","MOBP","cataract","neurology/eye/psychiatry"
"3331","FA2H","cataract","neurology/eye/psychiatry"
"3332","SYNPR","cataract","neurology/eye/psychiatry"
"3333","KIF1A","cataract","neurology/eye/psychiatry"
"3334","CNTFR","cataract","neurology/eye/psychiatry"
"3335","CCDC92B","cataract","neurology/eye/psychiatry"
"3336","LRRTM1","cataract","neurology/eye/psychiatry"
"3337","CPLX1","cataract","neurology/eye/psychiatry"
"3338","WSCD2","cataract","neurology/eye/psychiatry"
"3339","SERP2","cataract","neurology/eye/psychiatry"
"3340","SEPTIN3","cataract","neurology/eye/psychiatry"
"3341","ARHGEF4","cataract","neurology/eye/psychiatry"
"3342","CHN1","cataract","neurology/eye/psychiatry"
"3343","KCNK3","cataract","neurology/eye/psychiatry"
"3344","ADORA1","cataract","neurology/eye/psychiatry"
"3345","PSD2","cataract","neurology/eye/psychiatry"
"3346","SMYD3-AS1","cataract","neurology/eye/psychiatry"
"3347","CADM4","cataract","neurology/eye/psychiatry"
"3348","LINC01657","cataract","neurology/eye/psychiatry"
"3349","TMEM59L","cataract","neurology/eye/psychiatry"
"3350","APBB1","cataract","neurology/eye/psychiatry"
"3351","ARNT2","cataract","neurology/eye/psychiatry"
"3352","ZP2","cataract","neurology/eye/psychiatry"
"3353","LINC02679","cataract","neurology/eye/psychiatry"
"3354","NKX6-2","cataract","neurology/eye/psychiatry"
"3355","UNC13A","cataract","neurology/eye/psychiatry"
"3356","ATP1A2","cataract","neurology/eye/psychiatry"
"3357","SNCB","cataract","neurology/eye/psychiatry"
"3358","ADGRB2","cataract","neurology/eye/psychiatry"
"3359","SFR1P2","cataract","neurology/eye/psychiatry"
"3360","NSG1","cataract","neurology/eye/psychiatry"
"3361","SYNPO","cataract","neurology/eye/psychiatry"
"3362","TLCD3B","cataract","neurology/eye/psychiatry"
"3363","KCNC1","cataract","neurology/eye/psychiatry"
"3364","LGI4","cataract","neurology/eye/psychiatry"
"3365","C16orf92","cataract","neurology/eye/psychiatry"
"3366","SNAP25","cataract","neurology/eye/psychiatry"
"3367","TPPP","cataract","neurology/eye/psychiatry"
"3368","PIANP","cataract","neurology/eye/psychiatry"
"3369","NYAP1","cataract","neurology/eye/psychiatry"
"3370","PDZD4","cataract","neurology/eye/psychiatry"
"3371","KRT31","cataract","neurology/eye/psychiatry"
"3372","CYP26B1","cataract","neurology/eye/psychiatry"
"3373","OLFM2","cataract","neurology/eye/psychiatry"
"3374","KCNN1","cataract","neurology/eye/psychiatry"
"3375","MAPK8IP1","cataract","neurology/eye/psychiatry"
"3376","CEROX1","cataract","neurology/eye/psychiatry"
"3377","GABRG2","cataract","neurology/eye/psychiatry"
"3378","RNU2-47P","cataract","neurology/eye/psychiatry"
"3379","PRKCG","cataract","neurology/eye/psychiatry"
"3380","DDX11L16","cataract","neurology/eye/psychiatry"
"3381","NALF1-IT1","cataract","neurology/eye/psychiatry"
"3382","GRIN2C","cataract","neurology/eye/psychiatry"
"3383","CNTNAP1","cataract","neurology/eye/psychiatry"
"3384","SLC6A1","cataract","neurology/eye/psychiatry"
"3385","TTR","cataract","neurology/eye/psychiatry"
"3386","FXYD1","cataract","neurology/eye/psychiatry"
"3387","CDH15","cataract","neurology/eye/psychiatry"
"3388","HR","cataract","neurology/eye/psychiatry"
"3389","CDK5R2","cataract","neurology/eye/psychiatry"
"3390","ZNF365","cataract","neurology/eye/psychiatry"
"3391","CYCSP12","cataract","neurology/eye/psychiatry"
"3392","GOLGA7B","cataract","neurology/eye/psychiatry"
"3393","RPS12P5","cataract","neurology/eye/psychiatry"
"3394","B3GAT1","cataract","neurology/eye/psychiatry"
"3395","SLC1A6","cataract","neurology/eye/psychiatry"
"3396","EEF1A2","cataract","neurology/eye/psychiatry"
"3397","RNF112","cataract","neurology/eye/psychiatry"
"3398","MAPK8IP2","cataract","neurology/eye/psychiatry"
"3399","OLFM1","cataract","neurology/eye/psychiatry"
"3400","PLCH2","cataract","neurology/eye/psychiatry"
"3401","HPCAL4","cataract","neurology/eye/psychiatry"
"3402","ATP2B2","cataract","neurology/eye/psychiatry"
"3403","MAPRE3","cataract","neurology/eye/psychiatry"
"3404","CCM2L","cataract","neurology/eye/psychiatry"
"3405","LGI3","cataract","neurology/eye/psychiatry"
"3406","GALNT16","cataract","neurology/eye/psychiatry"
"3407","MAG","cataract","neurology/eye/psychiatry"
"3408","KRT18P36","cataract","neurology/eye/psychiatry"
"3409","NDRG2","cataract","neurology/eye/psychiatry"
"3410","BTF3P13","cataract","neurology/eye/psychiatry"
"3411","FNDC4","cataract","neurology/eye/psychiatry"
"3412","FRMPD3","cataract","neurology/eye/psychiatry"
"3413","IL17D","cataract","neurology/eye/psychiatry"
"3414","CAMK2A","cataract","neurology/eye/psychiatry"
"3415","DIRAS2","cataract","neurology/eye/psychiatry"
"3416","PABPC1L2B-AS1","cataract","neurology/eye/psychiatry"
"3417","RTN1","cataract","neurology/eye/psychiatry"
"3418","NCDN","cataract","neurology/eye/psychiatry"
"3419","SYNDIG1","cataract","neurology/eye/psychiatry"
"3420","NECAB2","cataract","neurology/eye/psychiatry"
"3421","PPP1R1B","cataract","neurology/eye/psychiatry"
"3422","OR9R1P","cataract","neurology/eye/psychiatry"
"3423","FAIM2","cataract","neurology/eye/psychiatry"
"3424","SNAP91","cataract","neurology/eye/psychiatry"
"3425","SCN2B","cataract","neurology/eye/psychiatry"
"3426","LINGO1","cataract","neurology/eye/psychiatry"
"3427","CRHR1","cataract","neurology/eye/psychiatry"
"3428","ZNF32-AS1","cataract","neurology/eye/psychiatry"
"3429","SERPINI1","cataract","neurology/eye/psychiatry"
"3430","DUSP26","cataract","neurology/eye/psychiatry"
"3431","KLHL25P1","cataract","neurology/eye/psychiatry"
"3432","SNCG","cataract","neurology/eye/psychiatry"
"3433","ATP2B3","cataract","neurology/eye/psychiatry"
"3434","GRM4","cataract","neurology/eye/psychiatry"
"3435","RPH3A","cataract","neurology/eye/psychiatry"
"3436","CA10","cataract","neurology/eye/psychiatry"
"3437","ADRA1B","cataract","neurology/eye/psychiatry"
"3438","CPNE5","cataract","neurology/eye/psychiatry"
"3439","NEFH","cataract","neurology/eye/psychiatry"
"3440","BCAS1","cataract","neurology/eye/psychiatry"
"3441","PCP4L1","cataract","neurology/eye/psychiatry"
"3442","RN7SKP68","cataract","neurology/eye/psychiatry"
"3443","LINC02661","cataract","neurology/eye/psychiatry"
"3444","SLC20A1P1","cataract","neurology/eye/psychiatry"
"3445","TLE2","cataract","neurology/eye/psychiatry"
"3446","RGS4","cataract","neurology/eye/psychiatry"
"3447","RNU6-1217P","cataract","neurology/eye/psychiatry"
"3448","SVOP","cataract","neurology/eye/psychiatry"
"3449","LHX1-DT","cataract","neurology/eye/psychiatry"
"3450","FADS6","cataract","neurology/eye/psychiatry"
"3451","SLC7A4","cataract","neurology/eye/psychiatry"
"3452","MT3","cataract","neurology/eye/psychiatry"
"3453","FAM131C2P","cataract","neurology/eye/psychiatry"
"3454","ELMOD1","cataract","neurology/eye/psychiatry"
"3455","KNDC1","cataract","neurology/eye/psychiatry"
"3456","CCKBR","cataract","neurology/eye/psychiatry"
"3457","ZIC1","cataract","neurology/eye/psychiatry"
"3458","CCNT2-AS1","cataract","neurology/eye/psychiatry"
"3459","TMEM130","cataract","neurology/eye/psychiatry"
"3460","HAP1","cataract","neurology/eye/psychiatry"
"3461","TXNP2","cataract","neurology/eye/psychiatry"
"3462","CACNG7","cataract","neurology/eye/psychiatry"
"3463","CPE","cataract","neurology/eye/psychiatry"
"3464","KRTAP5-AS1","cataract","neurology/eye/psychiatry"
"3465","PPP1R26-AS1","cataract","neurology/eye/psychiatry"
"3466","IGSF21","cataract","neurology/eye/psychiatry"
"3467","UNC5A","cataract","neurology/eye/psychiatry"
"3468","NEFL","cataract","neurology/eye/psychiatry"
"3469","STXBP1","cataract","neurology/eye/psychiatry"
"3470","CADM3","cataract","neurology/eye/psychiatry"
"3471","SMIM32","cataract","neurology/eye/psychiatry"
"3472","PTPN5","cataract","neurology/eye/psychiatry"
"3473","SLC17A7","cataract","neurology/eye/psychiatry"
"3474","SYT13","cataract","neurology/eye/psychiatry"
"3475","VSNL1","cataract","neurology/eye/psychiatry"
"3476","SOX8","cataract","neurology/eye/psychiatry"
"3477","MIR124-1HG","cataract","neurology/eye/psychiatry"
"3478","GALNT9-AS1","cataract","neurology/eye/psychiatry"
"3479","PLP1","cataract","neurology/eye/psychiatry"
"3480","MCF2L","cataract","neurology/eye/psychiatry"
"3481","SLC32A1","cataract","neurology/eye/psychiatry"
"3482","LHFPL4","cataract","neurology/eye/psychiatry"
"3483","INA","cataract","neurology/eye/psychiatry"
"3484","PACSIN1","cataract","neurology/eye/psychiatry"
"3485","TTBK1","cataract","neurology/eye/psychiatry"
"3486","CHRD","cataract","neurology/eye/psychiatry"
"3487","FBXL16","cataract","neurology/eye/psychiatry"
"3488","CKMT1B","cataract","neurology/eye/psychiatry"
"3489","ABCG4","cataract","neurology/eye/psychiatry"
"3490","KCNIP2","cataract","neurology/eye/psychiatry"
"3491","PCDHGC5","cataract","neurology/eye/psychiatry"
"3492","THY1-AS1","cataract","neurology/eye/psychiatry"
"3493","CAMK2B","cataract","neurology/eye/psychiatry"
"3494","CA11","cataract","neurology/eye/psychiatry"
"3495","AP3B2","cataract","neurology/eye/psychiatry"
"3496","TUBB4A","cataract","neurology/eye/psychiatry"
"3497","TMEM145","cataract","neurology/eye/psychiatry"
"3498","TCTE1","cataract","neurology/eye/psychiatry"
"3499","PPP2R2C","cataract","neurology/eye/psychiatry"
"3500","SNPH","cataract","neurology/eye/psychiatry"
"3501","CABP1","cataract","neurology/eye/psychiatry"
"3502","FBXO2","cataract","neurology/eye/psychiatry"
"3503","NMNAT2","cataract","neurology/eye/psychiatry"
"3504","SNRPEP5","cataract","neurology/eye/psychiatry"
"3505","CDH22","cataract","neurology/eye/psychiatry"
"3506","SYNGR3","cataract","neurology/eye/psychiatry"
"3507","SOHLH1","cataract","neurology/eye/psychiatry"
"3508","RNY3P8","cataract","neurology/eye/psychiatry"
"3509","HAPLN2","cataract","neurology/eye/psychiatry"
"3510","CBLN4","cataract","neurology/eye/psychiatry"
"3511","VSTM2L","cataract","neurology/eye/psychiatry"
"3512","EIF4E1B","cataract","neurology/eye/psychiatry"
"3513","RAB3A","cataract","neurology/eye/psychiatry"
"3514","PSD","cataract","neurology/eye/psychiatry"
"3515","BSN","cataract","neurology/eye/psychiatry"
"3516","CELF4","cataract","neurology/eye/psychiatry"
"3517","LINC02813","cataract","neurology/eye/psychiatry"
"3518","RBFOX1","cataract","neurology/eye/psychiatry"
"3519","SCD5","cataract","neurology/eye/psychiatry"
"3520","SCRT1","cataract","neurology/eye/psychiatry"
"3521","ATP1A3","cataract","neurology/eye/psychiatry"
"3522","TOMM20P1","cataract","neurology/eye/psychiatry"
"3523","CRTAC1","cataract","neurology/eye/psychiatry"
"3524","RASD2","cataract","neurology/eye/psychiatry"
"3525","ARHGDIG","cataract","neurology/eye/psychiatry"
"3526","SYT5","cataract","neurology/eye/psychiatry"
"3527","CAMK2N1","cataract","neurology/eye/psychiatry"
"3528","TMEM178A","cataract","neurology/eye/psychiatry"
"3529","EFHD1","cataract","neurology/eye/psychiatry"
"3530","JPH3","cataract","neurology/eye/psychiatry"
"3531","SCN1B","cataract","neurology/eye/psychiatry"
"3532","MUC20P1","cataract","neurology/eye/psychiatry"
"3533","ZNF816-ZNF321P","cataract","neurology/eye/psychiatry"
"3534","LMAN1L","cataract","neurology/eye/psychiatry"
"3535","BCAS2P3","cataract","neurology/eye/psychiatry"
"3536","APC2","cataract","neurology/eye/psychiatry"
"3537","CBLN3","cataract","neurology/eye/psychiatry"
"3538","GNAO1","cataract","neurology/eye/psychiatry"
"3539","ZIC4-AS1","cataract","neurology/eye/psychiatry"
"3540","VWA5B2","cataract","neurology/eye/psychiatry"
"3541","RGS11","cataract","neurology/eye/psychiatry"
"3542","TMEM179","cataract","neurology/eye/psychiatry"
"3543","LINC01763","cataract","neurology/eye/psychiatry"
"3544","SRRM4","cataract","neurology/eye/psychiatry"
"3545","BRSK2","cataract","neurology/eye/psychiatry"
"3546","LINC00844","cataract","neurology/eye/psychiatry"
"3547","LINC03053","cataract","neurology/eye/psychiatry"
"3548","DHFRP6","cataract","neurology/eye/psychiatry"
"3549","RIMS4","cataract","neurology/eye/psychiatry"
"3550","HSPB2","cataract","neurology/eye/psychiatry"
"3551","BRSK1","cataract","neurology/eye/psychiatry"
"3552","KIAA1755","cataract","neurology/eye/psychiatry"
"3553","BARHL1","cataract","neurology/eye/psychiatry"
"3554","MIR1471","cataract","neurology/eye/psychiatry"
"3555","D1304","cataract","neurology/eye/psychiatry"
"3556","OR6V1","cataract","neurology/eye/psychiatry"
"3557","CAMK2N2","cataract","neurology/eye/psychiatry"
"3558","SPOCK1","cataract","neurology/eye/psychiatry"
"3559","KLC2","cataract","neurology/eye/psychiatry"
"3560","RIMS3","cataract","neurology/eye/psychiatry"
"3561","ASPA","cataract","neurology/eye/psychiatry"
"3562","TTC9B","cataract","neurology/eye/psychiatry"
"3563","SLC8A2","cataract","neurology/eye/psychiatry"
"3564","B4GALNT1","cataract","neurology/eye/psychiatry"
"3565","ARHGEF25","cataract","neurology/eye/psychiatry"
"3566","CALY","cataract","neurology/eye/psychiatry"
"3567","CACNG2","cataract","neurology/eye/psychiatry"
"3568","DHRS4L1","cataract","neurology/eye/psychiatry"
"3569","NEUROD2","cataract","neurology/eye/psychiatry"
"3570","NFASC","cataract","neurology/eye/psychiatry"
"3571","NGEF","cataract","neurology/eye/psychiatry"
"3572","SYT1","cataract","neurology/eye/psychiatry"
"3573","KCNQ2","cataract","neurology/eye/psychiatry"
"3574","LINC01532","cataract","neurology/eye/psychiatry"
"3575","PRRT2","cataract","neurology/eye/psychiatry"
"3576","DPP6","cataract","neurology/eye/psychiatry"
"3577","LHX1","cataract","neurology/eye/psychiatry"
"3578","SLC22A17","cataract","neurology/eye/psychiatry"
"3579","HSPB8","cataract","neurology/eye/psychiatry"
"3580","APLNR","cataract","neurology/eye/psychiatry"
"3581","ANKRD34A","cataract","neurology/eye/psychiatry"
"3582","RCAN2","cataract","neurology/eye/psychiatry"
"3583","CLDN11","cataract","neurology/eye/psychiatry"
"3584","ANKRD30BP2","cataract","neurology/eye/psychiatry"
"3585","MAGEA7P","cataract","neurology/eye/psychiatry"
"3586","FAM236D","cataract","neurology/eye/psychiatry"
"3587","NRSN1","cataract","neurology/eye/psychiatry"
"3588","ENTREP2","cataract","neurology/eye/psychiatry"
"3589","HIPK4","cataract","neurology/eye/psychiatry"
"3590","RIT2","cataract","neurology/eye/psychiatry"
"3591","CHD5","cataract","neurology/eye/psychiatry"
"3592","WFIKKN2","cataract","neurology/eye/psychiatry"
"3593","ELFN2","cataract","neurology/eye/psychiatry"
"3594","EPB41L1","cataract","neurology/eye/psychiatry"
"3595","TEF","cataract","neurology/eye/psychiatry"
"3596","RN7SKP182","cataract","neurology/eye/psychiatry"
"3597","MTCO3P29","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3598","PEX5L","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3599","LINC02067","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3600","CTBP1","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3601","RGS8","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3602","RPL4","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3603","KIAA1549L","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3604","GATC","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3605","SNAP25","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3606","ATG10","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3607","SRP68P2","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3608","PREPL","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3609","HSPA2","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3610","ZNF365","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3611","RPL9P7","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3612","U2AF2","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3613","SERBP1","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3614","OMG","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3615","RPL7AP31","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3616","PNKDP1","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3617","D1075","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3618","DRP2","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3619","KCNV1","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3620","RPL41","cholelithiasis/gall stones","gastrointestinal/abdominal"
"3621","ZNF812P","cholelithiasis/gall stones","gastrointestinal/abdominal"
